Animal ID,PHENO_cue_memory_vs_exploration,Sex,Genotype,Diet,Lifestyle,Age_Months
220509_1,16.29,male,APOE22,HFD,Sedentary,20.23333333
220509_4,13.87,female,APOE22,HFD,Sedentary,20.23333333
220509_7,35.24,male,APOE33,HFD,Sedentary,21.46666667
220509_8,32.17,female,APOE33,HFD,Sedentary,20.36666667
220509_10,28.26,female,APOE33,HFD,Sedentary,20.36666667
220509_11,31.31,female,APOE44,Control,Sedentary,19.53333333
220509_12,28.0,female,APOE22,Control,Sedentary,13.4
220509_13,32.09,female,APOE22,Control,Sedentary,13.16666667
220509_14,41.86,female,APOE22,Control,Sedentary,13.16666667
220606_1,15.2,male,APOE33HN,Control,Sedentary,19.4
220606_2,19.63,female,APOE44HN,Control,Sedentary,20.6333333333333
220606_3,18.03,female,APOE44HN,Control,Sedentary,20.6333333333333
220606_4,10.81,female,APOE44HN,Control,Sedentary,20.6333333333333
220606_5,7.510000000000001,female,APOE44HN,Control,Sedentary,20.6
220606_6,17.67,female,APOE44HN,Control,Sedentary,20.6
220808_6,20.92,female,APOE22HN,Control,Sedentary,21.5
220808_7,15.38,female,APOE22HN,Control,Sedentary,21.5
220808_8,13.71,female,APOE22HN,Control,Sedentary,21.5
220808_9,34.84,female,APOE22HN,HFD,Sedentary,19.3
220808_10,5.52,female,APOE22HN,HFD,Sedentary,19.1
220808_11,11.439999999999998,female,APOE22HN,HFD,Sedentary,19.1
220808_12,36.620000000000005,female,APOE22HN,HFD,Sedentary,19.1
220808_13,36.03,male,APOE22HN,HFD,Sedentary,20.4
220808_14,29.190000000000005,male,APOE22HN,HFD,Sedentary,20.4
220808_15,29.04,male,APOE22HN,HFD,Sedentary,20.4
220808_16,20.37,male,APOE22HN,HFD,Sedentary,20.4
220808_17,37.120000000000005,male,APOE22HN,HFD,Sedentary,20.4
220404_1,27.93,female ,APOE22,HFD,Sedentary,14.8
220404_2,25.950000000000003,female ,APOE22,HFD,Sedentary,14.8
220404_3,37.89,female ,APOE22,HFD,Sedentary,14.8
220404_4,23.92,female ,APOE22,HFD,Sedentary,14.8
220404_5,21.69,female ,APOE22,HFD,Sedentary,12.2666666666667
220404_6,46.08,male,APOE22,HFD,Sedentary,14.8
220404_7,42.28,male,APOE22,HFD,Sedentary,14.8
220404_8,39.78,male,APOE22,HFD,Sedentary,14.4
220404_9,47.35,male,APOE22,HFD,Sedentary,14.4
220404_10,29.97,male,APOE22,HFD,Sedentary,14.4
220404_11,19.5,male,APOE22HN,Control,Sedentary,21.2333333333333
220404_13,11.57,male,APOE22HN,Control,Sedentary,21.2333333333333
220307_11,27.56,female ,APOE22HN,Control,Sedentary,19.47
220307_12,27.03,female ,APOE22HN,Control,Sedentary,19.47
220307_13,2.9599999999999995,female ,APOE22HN,Control,Sedentary,19.47
221101_1,16.68,male,APOE44,HFD,Sedentary,13.1333333333333
221101_2,18.040000000000003,male,APOE44,HFD,Sedentary,13.1333333333333
221101_4,7.08,female,APOE44HN,HFD,Sedentary,24.8333333333333
221101_5,11.83,male,APOE44HN,Control,Sedentary,16.8
221101_6,12.78,male,APOE44HN,Control,Sedentary,16.8
221101_7,15.56,female,APOE44,Control,Exercise,19.4
221101_8,31.38,female,APOE44,Control,Exercise,19.4
221101_9,32.41,female,APOE44,Control,Exercise,19.4
221101_10,17.89,male,APOE44,Control,Exercise,19.4
221101_11,18.33,male,APOE44,Control,Exercise,19.4
221101_12,15.98,male,APOE44,Control,Exercise,19.4
221101_19,28.18,male,APOE22HN,Control,Sedentary,15.6666666666667
221101_20,12.27,female,APOE44HN,Control,Exercise,18.1
221101_22,17.53,female,APOE44HN,Control,Exercise,18.1
221101_23,26.26,female,APOE44HN,Control,Exercise,18.1
221101_24,8.040000000000001,female,APOE44HN,Control,Exercise,18.1
220905_1,26.85,male,APOE44,HFD,Sedentary,20.2
220905_2,23.42,female,APOE44,HFD,Sedentary,20.2
220905_3,25.38,male,APOE44,HFD,Sedentary,20.2
220905_4,19.43,male,APOE33HN,Control,Exercise,18.0666666666667
220905_5,18.37,male,APOE33HN,Control,Exercise,18.0666666666667
220905_6,14.16,male,APOE33HN,Control,Exercise,18.0666666666667
220905_7,18.62,male,APOE44,HFD,Sedentary,20.2
220905_8,19.96,female,APOE44,HFD,Sedentary,20.2
220905_9,25.23,male,APOE44,HFD,Sedentary,20.2
220905_10,25.39,male,APOE22HN,Control,Sedentary,20.4
220905_11,18.87,male,APOE22HN,Control,Sedentary,20.4
220905_12,42.15,male,APOE22HN,Control,Sedentary,20.4
220905_13,45.07,female,APOE33,Control,Exercise,17.5
220905_14,44.31,female,APOE33,Control,Exercise,17.7666666666667
220905_15,36.46,female,APOE33,Control,Exercise,17.7666666666667
220905_16,40.6,female,APOE33,Control,Exercise,17.5
220905_17,39.510000000000005,female,APOE33,Control,Exercise,17.5
220905_18,25.25,male,APOE44HN,Control,Sedentary,18.2666666666667
220905_19,4.39,male,APOE44HN,Control,Sedentary,18.2666666666667
220905_20,25.12,male,APOE44HN,Control,Sedentary,18.2
220905_21,37.81999999999999,female,APOE44,Control,Exercise,17.5
220905_22,23.85,female,APOE44,Control,Exercise,17.5
220905_23,22.47,male,APOE44,Control,Exercise,17.3
220905_24,37.82,male,APOE44,Control,Exercise,17.3
220905_25,39.46,male,APOE44,Control,Exercise,17.3
220905_26,10.96,female,APOE33HN,Control,Exercise,18.0333333333333
220905_27,25.07,female,APOE33HN,Control,Exercise,18.0333333333333
220905_28,30.67,female,APOE33HN,Control,Exercise,18.0333333333333
230508_1,39.54,female,KO,HFD,Sedentary,15.4666666666667
230508_2,13.42,female,KO,HFD,Sedentary,15.4666666666667
230508_3,47.83,female,KO,HFD,Sedentary,15.4666666666667
230508_4,39.11,female,KO,HFD,Sedentary,15.6
230508_5,14.58,female,KO,HFD,Sedentary,15.6
230508_6,24.1,male,KO,Control,Sedentary,19.7333333333333
230508_7,46.67,male,KO,Control,Sedentary,19.7333333333333
230508_8,37.59,male,KO,HFD,Sedentary,19.1666666666667
230508_9,22.01,male,KO,HFD,Sedentary,19.1666666666667
230508_10,11.62,male,KO,HFD,Sedentary,19.1666666666667
230508_11,26.75,female,KO,HFD,Sedentary,19.4333333333333
230508_13,37.82,female,KO,HFD,Sedentary,19.4333333333333
230508_15,0.7,female,KO,HFD,Sedentary,19.0333333333333
230508_16,3.5900000000000003,male,KO,HFD,Sedentary,19.0333333333333
230508_17,22.59,male,APOE44HN,Control,Sedentary,19.0666666666667
230508_18,28.5,male,APOE44HN,Control,Sedentary,19.0666666666667
230508_19,11.689999999999998,male,APOE44HN,Control,Sedentary,18.2333333333333
230410_1,6.68,male,APOE22,HFD,Sedentary,19.7666666666667
230410_2,35.51,male,APOE33,HFD,Sedentary,19.4
230410_3,10.02,female,APOE33,HFD,Sedentary,19.4
230410_4,28.07,female,APOE33,HFD,Sedentary,19.4
230410_5,34.38,female,APOE33,HFD,Sedentary,18.2666666666667
230410_6,37.72,female,APOE33,HFD,Sedentary,18.2666666666667
230410_7,26.69,female,APOE33,HFD,Sedentary,18.2666666666667
230410_8,6.370000000000001,male,APOE22HN,HFD,Sedentary,21.3333333333333
230410_9,16.88,female,APOE22HN,HFD,Sedentary,19.7
230410_10,29.0,male,APOE33HN,HFD,Sedentary,22.0
230410_11,21.06,male,APOE33HN,HFD,Sedentary,22.0
230410_12,28.200000000000003,male,APOE33HN,HFD,Sedentary,22.0
230410_13,17.439999999999998,male,APOE33HN,HFD,Sedentary,22.0
230410_15,14.849999999999998,female,KO,Control,Sedentary,19.3666666666667
230410_17,30.590000000000003,female,KO,Control,Sedentary,19.3666666666667
230410_18,17.869999999999997,female,KO,Control,Sedentary,19.3666666666667
230410_19,26.0,male,KO,Control,Sedentary,19.3666666666667
230410_20,39.260000000000005,male,KO,Control,Sedentary,19.3666666666667
230313_1,16.46,male,APOE22,Control,Exercise,17.6666666666667
230313_2,7.319999999999999,male,APOE22,Control,Exercise,17.6666666666667
230313_3,14.52,male,APOE22,Control,Exercise,17.6666666666667
230313_4,24.2,female,APOE22,Control,Exercise,17.6666666666667
230313_5,30.000000000000004,female,APOE22,Control,Exercise,17.6666666666667
230313_6,17.830000000000002,female,APOE22,Control,Exercise,17.6666666666667
230313_7,31.300000000000004,female,APOE22,Control,Exercise,17.8666666666667
230313_8,19.65,female,APOE22,Control,Exercise,17.8666666666667
230605_1,7.19,female,APOE44HN,HFD,Sedentary,20.2333333333333
230605_2,8.280000000000001,female,APOE44HN,HFD,Sedentary,19.4
230605_3,11.64,female,APOE44HN,HFD,Sedentary,19.4
230605_4,23.37,female,APOE44HN,HFD,Sedentary,19.1666666666667
230605_5,25.85,female,APOE44HN,HFD,Sedentary,19.1666666666667
230605_6,16.349999999999998,male,APOE44HN,HFD,Sedentary,19.4
230605_7,9.53,male,APOE44HN,HFD,Sedentary,19.4
230605_8,7.19,male,APOE33,HFD,Sedentary,19.4333333333333
230605_10,29.32,male,APOE33,HFD,Sedentary,14.6333333333333
230605_11,17.91,male,APOE33,HFD,Sedentary,19.5666666666667
230605_12,31.58,male,APOE33,HFD,Sedentary,19.5666666666667
230605_13,19.1,male,APOE33,HFD,Sedentary,19.5666666666667
230605_14,32.87,male,APOE33,HFD,Sedentary,19.5666666666667
230605_15,13.95,female,APOE33HN,Control,Exercise,14.6
230605_16,34.47,female,APOE33HN,Control,Exercise,14.6
230605_17,14.71,female,APOE22HN,Control,Sedentary,15.0333333333333
230605_18,30.5,female,APOE22HN,Control,Sedentary,15.0333333333333
230605_19,21.06,female,APOE22HN,Control,Sedentary,15.0333333333333
230605_20,24.33,female,APOE22HN,Control,Exercise,14.7333333333333
230605_21,20.87,female,APOE22HN,Control,Exercise,14.7333333333333
230605_22,33.07,male,APOE33,Control,Exercise,14.7666666666667
230605_23,20.41,male,APOE33,Control,Exercise,14.7666666666667
230605_24,35.23,male,APOE33,Control,Exercise,14.7666666666667
230605_25,51.74,male,APOE33,Control,Exercise,14.7666666666667
230213_1,27.43,male,APOE22,Control,Sedentary,19.6333333333333
230213_2,19.56,male,APOE22,Control,Sedentary,19.6333333333333
230213_3,24.99,male,APOE22,Control,Sedentary,19.6333333333333
230213_4,32.03,male,APOE22,Control,Sedentary,19.6333333333333
230213_5,33.529999999999994,male,APOE22,Control,Sedentary,19.6333333333333
230213_6,11.45,male,APOE44,Control,Sedentary,19.5333333333333
230213_7,11.64,male,APOE44,Control,Sedentary,19.5666666666667
230213_8,13.08,male,APOE44,Control,Sedentary,19.5666666666667
