Level_1,Level_2,Subdivisions_7_nowm,n_nodes,total_edges,total_positive_edges,total_negative_edges
1_forebrain,1_secondary_prosencephalon,1_isocortex,27,45,20,25
1_forebrain,1_secondary_prosencephalon,2_pallium,15,19,10,9
1_forebrain,2_diencephalon,4_diencephalon,11,13,8,5
3_hindbrain,1_prepontine_hindbrain,6_hindbrain,8,11,2,9
4_white_matter_tracts,forebrain_white_matter,7_whitematter,7,10,5,5
3_hindbrain,3_pontomedullary_hindbrain,6_hindbrain,4,9,4,5
4_white_matter_tracts,hindbrain_white_matter,7_whitematter,4,4,2,2
4_white_matter_tracts,midbrain_white_matter,4_diencephalon,1,4,1,3
4_white_matter_tracts,pontine_hindbrain,6_hindbrain,1,3,3,0
1_forebrain,1_secondary_prosencephalon,4_diencephalon,2,3,3,0
1_forebrain,1_secondary_prosencephalon,3_subpallium,2,2,0,2
4_white_matter_tracts,midbrain_white_matter,7_whitematter,1,2,1,1
2_midbrain,m1,4_diencephalon,1,2,2,0
3_hindbrain,2_pontine_hindbrain,6_hindbrain,2,2,1,1
2_midbrain,m1,5_midbrain,2,2,2,0
4_white_matter_tracts,hindbrain_white_matter,6_hindbrain,2,2,0,2
2_midbrain,combo,4_diencephalon,1,1,1,0
3_hindbrain,4_medullary_hindbrain,6_hindbrain,1,1,1,0
3_hindbrain,combo,6_hindbrain,1,1,1,0
4_white_matter_tracts,forebrain_white_matter,4_diencephalon,1,1,0,1
5_ventricular_system,combo,8_CSF,1,1,1,0
5_ventricular_system,forebrain,csf,1,1,0,1
5_ventricular_system,hindbrain,8_CSF,1,1,0,1
