node_i,node_j,t,p,r_residualized
6,16,3.8114459879219313,0.0001971561755843,0.28933840938859684
16,94,-3.713663785401379,0.0002822844925676654,-0.28251508893689614
16,163,3.580005330636063,0.00045597152874189955,0.2731186250808275
16,280,3.61871459608269,0.00039737649264922026,0.2758481562706996
78,279,-3.985864355347929,0.00010220994533868728,-0.3014002502783534
94,279,-3.89601857715472,0.00014375403323246805,-0.29520463465252
104,211,-4.236347160978732,3.835337438462689e-05,-0.31847136236534623
104,280,-3.8911622245178807,0.00014640534017587172,-0.29486867699989333
129,131,-3.385624028307648,0.0008947646271223342,-0.25931304512796133
131,174,-4.261572423760825,3.466672572595187e-05,-0.3201738162908178
131,279,-3.7015099161455884,0.0002950221888387993,-0.2816639530516001
131,293,3.8286428138338877,0.00018496590929752274,0.29053390512393884
142,174,-3.9067668913814,0.0001380474065998339,-0.29594780300835444
174,224,3.4089178413227104,0.0008265364978079372,0.2609760467353369
174,275,-3.913919895618761,0.0001343697370506216,-0.2964420840543508
176,242,3.688060430855722,0.00030975049343329696,0.28072130959694985
210,298,-3.445520672831185,0.0007290906351776696,-0.2635845198299946
211,242,-3.6865112145257144,0.00031149096178635085,-0.28061267633743575
242,298,3.9026311521945494,0.0001402172290042698,0.29566191001163883
279,280,3.479370798636163,0.0006486584255627107,0.2659916895146012
