component_id,n_nodes,n_edges,component_mass_abs_t,nodes,p_nbs_size,p_nbs_mass
6,20,20,75.34227009745547,"6,16,78,94,104,129,131,142,163,174,176,210,211,224,242,275,279,280,293,298",0.15084915084915085,0.14485514485514486
43,10,9,35.8694117735932,"44,152,165,194,202,205,206,213,288,311",0.3386613386613387,0.3016983016983017
48,5,4,13.994092807532496,"49,112,148,154,283",0.6963036963036963,0.6863136863136863
59,5,4,15.14761026971842,"60,79,149,207,316",0.6963036963036963,0.5994005994005994
65,5,4,14.52505524827676,"67,84,98,172,292",0.6963036963036963,0.6403596403596403
39,4,3,10.380850780335093,"40,93,223,284",0.8171828171828172,0.8101898101898102
134,3,2,7.015048484682268,"151,180,267",0.9530469530469531,0.9300699300699301
10,3,2,7.062758899500205,"10,97,318",0.9530469530469531,0.926073926073926
151,3,2,7.442369901831916,"175,216,235",0.9530469530469531,0.8711288711288712
139,3,2,7.196163431392231,"158,160,323",0.9530469530469531,0.9050949050949051
9,2,1,3.9466282733292086,"9,77",0.999000999000999,0.97002997002997
3,2,1,4.5353172439749985,"3,285",0.999000999000999,0.954045954045954
53,2,1,3.927821616316096,"54,222",0.999000999000999,0.971028971028971
49,2,1,3.979738144304616,"50,63",0.999000999000999,0.965034965034965
29,2,1,3.3756445846253533,"30,225",0.999000999000999,0.999000999000999
47,2,1,3.533078859311703,"48,198",0.999000999000999,0.995004995004995
104,2,1,3.83630173936444,"116,287",0.999000999000999,0.9820179820179821
85,2,1,4.089321425674947,"91,278",0.999000999000999,0.961038961038961
132,2,1,3.610621169359846,"147,186",0.999000999000999,0.993006993006993
72,2,1,3.6370321004192996,"74,238",0.999000999000999,0.9920079920079921
137,2,1,3.527644768553925,"156,189",0.999000999000999,0.995004995004995
145,2,1,3.4764595622633228,"167,300",0.999000999000999,0.995004995004995
146,2,1,4.193727648871379,"168,195",0.999000999000999,0.957042957042957
150,2,1,3.615080954396959,"173,203",0.999000999000999,0.993006993006993
155,2,1,3.6415206962392412,"181,303",0.999000999000999,0.9920079920079921
156,2,1,3.528684262142457,"182,320",0.999000999000999,0.995004995004995
193,2,1,3.7341462095507536,"239,254",0.999000999000999,0.986013986013986
225,2,1,3.45517899633437,"274,302",0.999000999000999,0.996003996003996
